"id","categoria","procedimento","objetivo","nome_transacao","quando_usar","pre_requisitos","passo_a_passo","resultado_esperado","observacoes"
"PROC014","Clientes","Atualização de Endereço de Cliente","Atualizar endereço cadastrado para novas entregas e faturamentos.","CAD007 - Alterar Endereço Cliente","Quando o cliente informar mudança de endereço.","Cliente existente; novo endereço confirmado.","1) Acesse CAD007 - Alterar Endereço Cliente. 2) Pesquise o cliente. 3) Abra o endereço. 4) Edite CEP, logradouro, número, cidade e estado. 5) Salve.","O novo endereço fica disponível para novos pedidos.","Não altere endereços históricos de pedidos já faturados."
"PROC015","Estoque","Consulta de Estoque","Consultar o saldo disponível de um produto.","EST001 - Consultar Estoque","Quando precisar verificar quantidade disponível por produto e local.","Código do produto ou descrição.","1) Acesse EST001 - Consultar Estoque. 2) Informe o produto. 3) Selecione o local ou filial. 4) Clique em Pesquisar. 5) Confira disponível, reservado e bloqueado.","O sistema apresenta o saldo atualizado para o filtro informado.","Estoque reservado não deve ser tratado como estoque livre."
"PROC016","Estoque","Movimentação de Estoque","Registrar entrada, saída, ajuste ou transferência de estoque.","EST002 - Movimentar Estoque","Quando houver uma movimentação física que precise ser registrada no sistema.","Produto identificado; tipo de movimentação definido; quantidade validada.","1) Acesse EST002 - Movimentar Estoque. 2) Selecione o tipo de movimento. 3) Informe produto e quantidade. 4) Informe origem e destino quando aplicável. 5) Informe motivo. 6) Salve.","O saldo de estoque é atualizado conforme o movimento registrado.","Ajustes de estoque devem ter motivo e autorização interna."
"PROC017","Expedição","Separação de Pedido","Gerar a tarefa de separação dos itens de um pedido aprovado.","EXP001 - Separar Pedido","Quando um pedido aprovado estiver pronto para separação no estoque.","Pedido aprovado; itens disponíveis em estoque.","1) Acesse EXP001 - Separar Pedido. 2) Informe o pedido. 3) Confira os itens. 4) Gere a lista de separação. 5) Registre as quantidades separadas. 6) Finalize a separação.","O pedido passa para o status Separado.","Se faltar item, registre a divergência antes de finalizar."
"PROC018","Expedição","Conferência de Carga","Conferir se a carga preparada corresponde ao pedido e à NF-e.","EXP002 - Conferir Carga","Antes da saída do veículo.","Pedido separado; NF-e emitida; carga disponível para conferência.","1) Acesse EXP002 - Conferir Carga. 2) Informe o documento de transporte ou pedido. 3) Confira produtos e quantidades. 4) Compare com a NF-e. 5) Registre divergências, se houver. 6) Finalize a conferência.","A carga fica liberada para expedição quando não houver divergências.","Divergências devem ser corrigidas ou tratadas antes da saída."
"PROC019","Transporte","Programação de Viagem","Programar uma viagem com data, rota, veículo e motorista.","TR003 - Programar Viagem","Quando o transporte estiver pronto para receber programação de saída.","Documento de transporte criado; motorista e veículo disponíveis.","1) Acesse TR003 - Programar Viagem. 2) Clique em Nova Viagem. 3) Selecione documento de transporte. 4) Informe data e horário. 5) Confirme motorista. 6) Confirme veículo. 7) Salve a programação.","A viagem fica com status Programada.","Não programe veículo ou motorista já alocados para outra viagem no mesmo horário."
"PROC020","Transporte","Finalização de Viagem","Encerrar uma viagem após a entrega e registrar o resultado da operação.","TR004 - Finalizar Viagem","Quando a entrega tiver sido concluída ou a viagem encerrada por motivo operacional.","Viagem programada; documento de transporte; comprovante ou ocorrência registrada.","1) Acesse TR004 - Finalizar Viagem. 2) Informe a viagem. 3) Confirme data de conclusão. 4) Informe ocorrência, se houver. 5) Anexe comprovante quando aplicável. 6) Clique em Finalizar.","A viagem passa para status Finalizada.","Quando houver problema na entrega, registre a ocorrência antes de finalizar."
"PROC021","Usuários","Cadastro de Usuário Operacional","Cadastrar um colaborador para acesso ao sistema.","SEG001 - Cadastro de Usuário","Quando um novo colaborador precisar acessar o sistema interno.","Nome; e-mail corporativo; área; perfil de acesso aprovado pelo gestor.","1) Acesse SEG001 - Cadastro de Usuário. 2) Clique em Novo. 3) Informe nome e e-mail. 4) Selecione área. 5) Selecione perfil de acesso. 6) Salve. 7) O sistema envia instruções de primeiro acesso.","O usuário é criado com o perfil autorizado.","Nunca conceda perfil administrativo sem autorização formal."
"PROC022","Usuários","Redefinição de Senha","Permitir que um usuário redefina sua senha de acesso.","SEG002 - Redefinir Senha","Quando o usuário esquecer a senha ou precisar forçar uma nova senha.","Usuário cadastrado e identificável no sistema.","1) Acesse SEG002 - Redefinir Senha. 2) Pesquise o usuário. 3) Confirme a identidade conforme a política interna. 4) Clique em Gerar Redefinição. 5) O usuário receberá instruções no e-mail cadastrado.","O usuário consegue criar uma nova senha.","Não informe senhas provisórias por chat ou telefone."
"PROC023","Relatórios","Relatório de NFs Emitidas","Consultar ou exportar uma relação de NF-e emitidas em determinado período.","REL001 - NFs Emitidas","Quando precisar conferir notas emitidas por período, filial, cliente ou status.","Data inicial e final; filtros opcionais.","1) Acesse REL001 - NFs Emitidas. 2) Informe o período. 3) Selecione filtros adicionais. 4) Clique em Pesquisar. 5) Confira os resultados. 6) Clique em Exportar quando necessário.","O sistema apresenta a relação de NF-e conforme os filtros.","Prefira períodos menores para consultas muito extensas."
"PROC024","Relatórios","Relatório de Viagens","Consultar viagens programadas, em andamento ou finalizadas.","REL002 - Viagens","Quando precisar acompanhar a operação de transporte.","Período e, opcionalmente, motorista, veículo ou status.","1) Acesse REL002 - Viagens. 2) Informe período. 3) Escolha filtros. 4) Clique em Pesquisar. 5) Analise os resultados. 6) Exporte se necessário.","O relatório apresenta as viagens conforme os filtros selecionados.","Use o status da viagem para diferenciar programadas, em andamento e finalizadas."
"PROC025","Ocorrências","Registro de Ocorrência de Entrega","Registrar problemas ocorridos durante a entrega.","OC001 - Registrar Ocorrência","Quando houver recusa, avaria, endereço incorreto, ausência do destinatário ou outro problema.","Documento de transporte ou viagem; descrição do ocorrido; evidência quando disponível.","1) Acesse OC001 - Registrar Ocorrência. 2) Informe viagem ou documento. 3) Selecione o tipo de ocorrência. 4) Descreva o fato. 5) Informe data e responsável. 6) Anexe evidência quando aplicável. 7) Salve.","A ocorrência é registrada e fica disponível para acompanhamento.","Descreva os fatos de forma objetiva, sem informações desnecessárias."
